CompanyName,ID,Address,Category_data,Category_2nd_Level,Rating,Review_Count,Price,Street_Num,zip_code,Score
Pinnacle Bar,food_163,"234 W 42nd St
25th Floor, New York, NY 10036",American,North American,2.5,6,2,42nd St,10036,4.6
Glass House Tavern,food_266,"252 W 47th St
Storefront, New York, NY 10036",American,North American,3.5,267,3,47th St,10036,161.6
Pig 'N' Whistle,food_131,"165 W 47th St
store front, New York, NY 10036",American,North American,3,111,2,47th St,10036,67.8
705 8th Avenue (8th Avenue Food Court),food_315,"705 Eighth Ave
Storefront, New York, NY 10036",Deli,Deli,3,28,1,8th Ave,10036,18
Bubba Gump Shrimp Co.,food_195,"209 Avenida Fabricante
Suite 200, New York, NY NA",Seafood,Other,3.5,798,2,Avenida Fabricante,10033,480.2
Katen Sushi Bar,food_288,"1535 Broadway
8th Floor, New York, NY 10036",Japanese,Asian,3,12,3,Broadway,10036,8.4
Encore Restaurant @ Marriott Marquis,food_174,"1535 Broadway
5th Floor, New York, NY 10036",American,North American,3.5,750,3,Broadway,10036,451.4
The View Restaurant & Lounge @ Marriott Marquis,food_177,"1535 Broadway
48th Floor, New York, NY 10036",American,North American,3,829,4,Broadway,10036,498.6
VACANT (frmerly Starbucks),food_276,"1600 Broadway
Storefront, New York, NY 10019",Coffee,Coffee,NA,NA,NA,Broadway,10019,#VALUE!
Blue Fin,food_133,"W Times Square
1567 Broadway, New York, NY 10036",Seafood,Other,3.5,842,3,Times Sq,10036,506.6
Jamba Juice,food_311,"1700 17th Street, New York, NY NA",Deli,Deli,2.9,34,1,17th St,10011,21.56
Dean & Deluca,food_79,"560 Broadway, New York, NY 10012",Deli,Deli,4,580,3,Broadway,10012,349.6
Schnipper's Quality Kitchen,food_75,"620 Eighth Ave, New York, NY 10018",American,North American,3.5,820,2,8th Ave,10018,493.4
Dean & Deluca,food_146,"620 Eighth Ave, New York, NY 10018",Deli,Deli,3,223,2,8th Ave,10018,135
Inakaya,food_74,"620 Eighth Ave, New York, NY 10018",Japanese,Asian,3.5,465,3,8th Ave,10018,280.4
Baja Fresh Mexican Grill,food_187,"1441 Broadway, New York, NY 10018",Mexican,South American,3.5,72,2,Broadway,10018,44.6
Sunrise Deli,food_42,"1441 Broadway, New York, NY 10018",Deli,Deli,3,6,2,Broadway,10018,4.8
Starbucks,food_5,"871-879 Eighth Ave, Suite# 871, New York, NY 10019",Coffee,Coffee,2,42,2,8th Ave,10019,26
Mars 2112,food_120,"1633 Broadway, Suite# B, New York, NY 10019",American,North American,2.5,3,1,Broadway,10019,2.8
Gallagher's Steak House,food_156,"228 W. 52nd Street, New York, NY 10019",Steakhouse,Steakhouse,4,723,3,52nd St,10019,435.4
Oceo,food_154,"224 West 49th Street, New York, NY 10019",Afghan,Mid East,2,1,1,49th St,10019,1.4
Bella Napoli,food_59,"150 W 49th St, New York, NY 10019",Italian,Europe,3,76,1,49th St,10019,46.8
Da Marino,food_151,"220 W 49th St, New York, NY 10019",Italian,Europe,4,292,3,49th St,10019,176.8
Cyber Cafe,food_283,"250 W 49th St, New York, NY 10019",Deli,Deli,NA,NA,NA,49th St,10019,#VALUE!
Sapporo,food_67,"152 W 49th St, New York, NY 10019",Japanese,Asian,3.5,11,2,49th St,10019,8
Pasta Lovers Trattoria,food_62,"142 W 49th St, New York, NY 10019",Italian,Europe,3.5,218,2,49th St,10019,132.2
Serafina @ Time Hotel,food_155,"224 W 49th St, New York, NY 10019",Italian,Europe,3,167,3,49th St,10019,101.4
Vacant (former Caf̩ Groppi),food_53,"148 W 49th St, New York, NY 10019",Deli,Deli,NA,NA,NA,49th St,10019,#VALUE!
Playwright Bar And Restaurant,food_145,"202 W 49th St, New York, NY 10019",American,North American,3.5,264,2,49th St,10019,159.8
Lp Food & Beverage Inc/Oceo,food_153,"224 W 49th St, New York, NY 10019",Catering,Other,2,1,1,49th St,10019,1.4
Bombay Masala Indian Restaurant,food_52,"148 W 49th St, New York, NY 10019",Indian,Asian,2.5,102,2,49th St,10019,62.2
Iroha,food_66,"152 W 49th St, New York, NY 10019",Japanese,Asian,3.5,323,2,49th St,10019,195.2
"Natsumi Restaurant, Bar & Lounge",food_304,"226 W 50th St, New York, NY 10019",Japanese,Asian,4,658,3,50th St,10019,396.4
Palm Restaurant,food_284,"250 W 50th St, New York, NY 10019",Steakhouse,Steakhouse,3.5,339,4,50th St,10019,204.8
Emmett O'Lunney's,food_281,"210 W 50th St, New York, NY 10019",Bar / Lounge,North American,4,224,2,50th St,10019,136
Applebee's,food_178,"205 W 50th St, New York, NY 10019",American,North American,2,192,2,50th St,10019,116
HarmoView,food_294,"210 W 50th St, New York, NY 10019",#N/A,North American,4,224,2,50th St,10019,136
Subway,food_147,"214 W 50th St, New York, NY 10019",Fast Food,Deli,3,9,1,50th St,10019,6.6
Toloache,food_35,"251 W 50th St, New York, NY 10019",Mexican,South American,4,1547,3,50th St,10019,929.8
Dunkin' Donuts,food_100,"210 W 50th St, New York, NY 10019",Coffee,Coffee,2.5,17,1,50th St,10019,11.2
Europa Cafe,food_68,"152 W 51st St, New York, NY 10019",Deli,Deli,3,59,1,51st St,10019,36.6
The House of Brews,food_12,"302 W 51st St, New York, NY 10019",American,North American,4,387,2,51st St,10019,233.8
Tom and Toon,food_263,"245 W 51st St, New York, NY 10019",Thai,Asian,4,42,2,51st St,10019,26.8
Piano Due,food_260,"151 W 51st St, New York, NY 10019",American,North American,4,18,3,51st St,10019,12.4
Bistro Caterers,food_319,"155 W 51st St, New York, NY 10019",Catering,Other,3,12,1,51st St,10019,8.4
Azalea,food_317,"224 W 51st St, New York, NY 10019",Italian,Europe,4,203,3,51st St,10019,123.4
Bluechili,food_36,"251 W 51st St, New York, NY 10019",Pan Asian,Asian,3,44,2,51st St,10019,27.6
Starbucks,food_21,"156 W 52nd St, New York, NY 10019",Coffee,Coffee,2.5,20,2,52nd St,10019,13
Moda @ Flatotel,food_217,"135 W 52nd St, New York, NY 10019",Italian,Europe,2.5,15,3,52nd St,10019,10
Bar Americain,food_69,"152 W 52nd St, New York, NY 10019",American,North American,3.5,1328,3,52nd St,10019,798.2
