"hotel_ID","food_ID"
"hotel_14","food_138"
"hotel_14","food_139"
"hotel_14","food_145"
"hotel_14","food_151"
"hotel_14","food_153"
"hotel_14","food_154"
"hotel_14","food_155"
"hotel_14","food_162"
"hotel_14","food_173"
"hotel_14","food_239"
"hotel_14","food_244"
"hotel_14","food_245"
"hotel_14","food_249"
"hotel_14","food_250"
"hotel_14","food_251"
"hotel_14","food_252"
"hotel_14","food_253"
"hotel_14","food_254"
"hotel_14","food_270"
"hotel_14","food_276"
"hotel_14","food_282"
"hotel_14","food_295"
"hotel_14","food_298"
"hotel_14","food_299"
"hotel_14","food_300"
"hotel_14","food_302"
"hotel_14","food_307"
"hotel_14","food_310"
"hotel_14","food_329"
"hotel_15","food_126"
"hotel_15","food_132"
"hotel_15","food_134"
"hotel_15","food_138"
"hotel_15","food_144"
"hotel_15","food_173"
"hotel_15","food_176"
"hotel_15","food_182"
"hotel_15","food_229"
"hotel_15","food_230"
"hotel_15","food_239"
"hotel_15","food_244"
"hotel_15","food_245"
"hotel_15","food_249"
"hotel_15","food_276"
"hotel_15","food_282"
"hotel_15","food_295"
"hotel_15","food_300"
"hotel_15","food_307"
"hotel_15","food_310"
"hotel_16","food_11"
"hotel_16","food_81"
"hotel_16","food_82"
"hotel_16","food_83"
"hotel_16","food_231"
"hotel_16","food_236"
"hotel_16","food_238"
"hotel_16","food_241"
"hotel_16","food_242"
"hotel_16","food_243"
"hotel_16","food_256"
"hotel_16","food_272"
"hotel_16","food_285"
"hotel_16","food_308"
"hotel_17","food_43"
"hotel_17","food_51"
"hotel_17","food_60"
"hotel_17","food_65"
"hotel_17","food_115"
"hotel_17","food_136"
"hotel_17","food_180"
"hotel_17","food_181"
"hotel_17","food_183"
"hotel_17","food_197"
"hotel_17","food_198"
"hotel_17","food_202"
"hotel_17","food_204"
"hotel_17","food_205"
"hotel_17","food_206"
"hotel_17","food_207"
"hotel_17","food_208"
"hotel_17","food_219"
"hotel_17","food_221"
"hotel_17","food_305"
"hotel_18","food_11"
"hotel_18","food_81"
"hotel_18","food_82"
"hotel_18","food_83"
"hotel_18","food_92"
"hotel_18","food_93"
"hotel_18","food_94"
"hotel_18","food_95"
"hotel_18","food_96"
"hotel_18","food_97"
"hotel_18","food_98"
"hotel_18","food_106"
"hotel_18","food_107"
"hotel_18","food_108"
"hotel_18","food_109"
"hotel_18","food_110"
"hotel_18","food_111"
"hotel_18","food_112"
"hotel_18","food_113"
"hotel_18","food_116"
"hotel_18","food_121"
"hotel_18","food_122"
"hotel_18","food_123"
"hotel_18","food_124"
"hotel_18","food_125"
"hotel_18","food_127"
"hotel_18","food_128"
"hotel_18","food_129"
"hotel_18","food_264"
"hotel_18","food_274"
"hotel_18","food_301"
"hotel_18","food_330"
"hotel_19","food_44"
"hotel_19","food_180"
"hotel_19","food_188"
"hotel_19","food_194"
"hotel_19","food_196"
"hotel_19","food_197"
"hotel_19","food_198"
"hotel_19","food_199"
"hotel_19","food_200"
"hotel_19","food_201"
"hotel_19","food_202"
"hotel_19","food_203"
"hotel_19","food_205"
"hotel_19","food_209"
"hotel_19","food_210"
"hotel_19","food_218"
"hotel_19","food_219"
"hotel_19","food_220"
"hotel_19","food_221"
"hotel_19","food_313"
"hotel_20","food_43"
"hotel_20","food_44"
"hotel_20","food_46"
"hotel_20","food_55"
"hotel_20","food_56"
"hotel_20","food_60"
"hotel_20","food_61"
"hotel_20","food_63"
"hotel_20","food_65"
"hotel_20","food_160"
"hotel_20","food_180"
"hotel_20","food_188"
"hotel_20","food_194"
"hotel_20","food_196"
"hotel_20","food_197"
"hotel_20","food_198"
"hotel_20","food_199"
"hotel_20","food_200"
"hotel_20","food_201"
"hotel_20","food_202"
"hotel_20","food_203"
"hotel_20","food_205"
"hotel_20","food_209"
"hotel_20","food_210"
"hotel_20","food_218"
"hotel_20","food_219"
"hotel_20","food_220"
"hotel_20","food_221"
"hotel_20","food_313"
"hotel_21","food_43"
"hotel_21","food_44"
"hotel_21","food_51"
"hotel_21","food_60"
"hotel_21","food_65"
"hotel_21","food_115"
"hotel_21","food_136"
"hotel_21","food_180"
"hotel_21","food_188"
"hotel_21","food_194"
"hotel_21","food_196"
"hotel_21","food_197"
"hotel_21","food_198"
"hotel_21","food_199"
"hotel_21","food_200"
"hotel_21","food_201"
"hotel_21","food_202"
"hotel_21","food_203"
"hotel_21","food_204"
"hotel_21","food_205"
"hotel_21","food_206"
"hotel_21","food_207"
"hotel_21","food_219"
"hotel_21","food_221"
"hotel_21","food_305"
"hotel_22","food_43"
"hotel_22","food_44"
"hotel_22","food_51"
"hotel_22","food_60"
"hotel_22","food_65"
"hotel_22","food_115"
"hotel_22","food_136"
"hotel_22","food_180"
"hotel_22","food_188"
"hotel_22","food_194"
"hotel_22","food_196"
"hotel_22","food_197"
"hotel_22","food_198"
"hotel_22","food_199"
"hotel_22","food_200"
"hotel_22","food_201"
"hotel_22","food_202"
"hotel_22","food_203"
"hotel_22","food_204"
"hotel_22","food_205"
"hotel_22","food_206"
"hotel_22","food_207"
"hotel_22","food_219"
"hotel_22","food_221"
"hotel_22","food_305"
"hotel_23","food_43"
"hotel_23","food_44"
"hotel_23","food_46"
"hotel_23","food_55"
"hotel_23","food_56"
"hotel_23","food_60"
"hotel_23","food_61"
"hotel_23","food_63"
"hotel_23","food_65"
"hotel_23","food_103"
"hotel_23","food_104"
"hotel_23","food_115"
"hotel_23","food_136"
"hotel_23","food_160"
"hotel_23","food_180"
"hotel_23","food_188"
"hotel_23","food_194"
"hotel_23","food_196"
"hotel_23","food_197"
"hotel_23","food_198"
"hotel_23","food_199"
"hotel_23","food_200"
"hotel_23","food_201"
"hotel_23","food_202"
"hotel_23","food_203"
"hotel_23","food_205"
"hotel_23","food_209"
"hotel_23","food_210"
"hotel_23","food_218"
"hotel_23","food_219"
"hotel_23","food_220"
"hotel_23","food_221"
"hotel_23","food_313"
"hotel_24","food_44"
"hotel_24","food_46"
"hotel_24","food_47"
"hotel_24","food_55"
"hotel_24","food_56"
"hotel_24","food_57"
"hotel_24","food_58"
"hotel_24","food_61"
"hotel_24","food_63"
"hotel_24","food_103"
"hotel_24","food_104"
"hotel_24","food_135"
"hotel_24","food_160"
"hotel_24","food_188"
"hotel_24","food_194"
"hotel_24","food_196"
"hotel_24","food_199"
"hotel_24","food_200"
"hotel_24","food_201"
"hotel_24","food_203"
"hotel_24","food_209"
"hotel_24","food_210"
"hotel_24","food_218"
"hotel_24","food_220"
"hotel_24","food_313"
"hotel_24","food_320"
"hotel_25","food_43"
"hotel_25","food_44"
"hotel_25","food_46"
"hotel_25","food_55"
"hotel_25","food_56"
"hotel_25","food_60"
"hotel_25","food_61"
"hotel_25","food_63"
"hotel_25","food_65"
"hotel_25","food_103"
"hotel_25","food_104"
"hotel_25","food_115"
"hotel_25","food_136"
"hotel_25","food_160"
"hotel_25","food_180"
"hotel_25","food_188"
"hotel_25","food_194"
"hotel_25","food_196"
"hotel_25","food_197"
"hotel_25","food_198"
"hotel_25","food_199"
"hotel_25","food_200"
"hotel_25","food_201"
"hotel_25","food_202"
"hotel_25","food_203"
"hotel_25","food_205"
"hotel_25","food_209"
"hotel_25","food_210"
"hotel_25","food_218"
"hotel_25","food_219"
"hotel_25","food_220"
"hotel_25","food_221"
"hotel_25","food_313"
"hotel_25","food_320"
"hotel_26","food_44"
"hotel_26","food_46"
"hotel_26","food_47"
"hotel_26","food_55"
"hotel_26","food_56"
"hotel_26","food_57"
"hotel_26","food_58"
"hotel_26","food_61"
"hotel_26","food_63"
"hotel_26","food_103"
"hotel_26","food_104"
"hotel_26","food_135"
"hotel_26","food_160"
"hotel_26","food_188"
"hotel_26","food_194"
"hotel_26","food_196"
"hotel_26","food_199"
"hotel_26","food_200"
"hotel_26","food_201"
"hotel_26","food_203"
"hotel_26","food_209"
"hotel_26","food_210"
"hotel_26","food_218"
"hotel_26","food_220"
"hotel_26","food_313"
"hotel_26","food_320"
"hotel_27","food_46"
"hotel_27","food_47"
"hotel_27","food_55"
"hotel_27","food_56"
"hotel_27","food_57"
"hotel_27","food_58"
"hotel_27","food_61"
"hotel_27","food_63"
"hotel_27","food_103"
"hotel_27","food_104"
"hotel_27","food_131"
"hotel_27","food_135"
"hotel_27","food_160"
"hotel_27","food_209"
"hotel_27","food_210"
"hotel_27","food_218"
"hotel_27","food_220"
"hotel_27","food_320"
"hotel_27","food_322"
"hotel_28","food_21"
"hotel_28","food_69"
"hotel_28","food_217"
"hotel_28","food_260"
"hotel_28","food_319"
"hotel_29","food_11"
"hotel_29","food_81"
"hotel_29","food_82"
"hotel_29","food_83"
"hotel_29","food_231"
"hotel_29","food_236"
"hotel_29","food_238"
"hotel_29","food_241"
"hotel_29","food_242"
"hotel_29","food_243"
"hotel_29","food_256"
"hotel_29","food_272"
"hotel_29","food_285"
"hotel_29","food_308"
"hotel_30","food_15"
"hotel_30","food_179"
"hotel_30","food_236"
"hotel_30","food_237"
"hotel_30","food_241"
"hotel_30","food_242"
"hotel_30","food_243"
"hotel_30","food_261"
"hotel_30","food_268"
"hotel_30","food_279"
"hotel_30","food_280"
"hotel_30","food_324"
"hotel_31","food_40"
"hotel_31","food_41"
"hotel_31","food_84"
"hotel_31","food_85"
"hotel_31","food_87"
"hotel_31","food_88"
"hotel_31","food_233"
"hotel_31","food_234"
"hotel_31","food_235"
"hotel_31","food_240"
"hotel_31","food_247"
"hotel_31","food_248"
"hotel_31","food_255"
"hotel_31","food_267"
"hotel_31","food_273"
"hotel_31","food_286"
"hotel_31","food_296"
"hotel_31","food_315"
"hotel_31","food_323"
"hotel_31","food_328"
"hotel_32","food_84"
"hotel_32","food_85"
"hotel_32","food_87"
"hotel_32","food_88"
"hotel_32","food_233"
"hotel_32","food_234"
"hotel_32","food_248"
"hotel_32","food_255"
"hotel_32","food_315"
"hotel_32","food_323"
"hotel_32","food_328"
"hotel_33","food_30"
"hotel_33","food_31"
"hotel_33","food_35"
"hotel_33","food_72"
"hotel_33","food_73"
"hotel_33","food_99"
"hotel_33","food_100"
"hotel_33","food_139"
"hotel_33","food_147"
"hotel_33","food_151"
"hotel_33","food_153"
"hotel_33","food_154"
"hotel_33","food_155"
"hotel_33","food_162"
"hotel_33","food_270"
"hotel_33","food_281"
"hotel_33","food_283"
"hotel_33","food_284"
"hotel_33","food_294"
"hotel_33","food_298"
"hotel_33","food_299"
"hotel_33","food_302"
"hotel_33","food_304"
"hotel_33","food_329"
"hotel_34","food_21"
"hotel_34","food_54"
"hotel_34","food_68"
"hotel_34","food_69"
"hotel_34","food_224"
"hotel_34","food_225"
"hotel_34","food_226"
"hotel_34","food_227"
"hotel_34","food_228"
"hotel_34","food_232"
"hotel_34","food_260"
"hotel_34","food_291"
"hotel_34","food_319"
"hotel_34","food_327"
"hotel_35","food_44"
"hotel_35","food_46"
"hotel_35","food_47"
"hotel_35","food_55"
"hotel_35","food_56"
"hotel_35","food_57"
"hotel_35","food_58"
"hotel_35","food_61"
"hotel_35","food_63"
"hotel_35","food_103"
"hotel_35","food_104"
"hotel_35","food_135"
"hotel_35","food_160"
"hotel_35","food_188"
"hotel_35","food_194"
"hotel_35","food_196"
"hotel_35","food_199"
"hotel_35","food_200"
"hotel_35","food_201"
"hotel_35","food_203"
"hotel_35","food_209"
"hotel_35","food_210"
"hotel_35","food_218"
"hotel_35","food_220"
"hotel_35","food_313"
"hotel_35","food_320"
"hotel_36","food_35"
"hotel_36","food_36"
"hotel_36","food_99"
"hotel_36","food_100"
"hotel_36","food_101"
"hotel_36","food_118"
"hotel_36","food_119"
"hotel_36","food_120"
"hotel_36","food_141"
"hotel_36","food_147"
"hotel_36","food_151"
"hotel_36","food_153"
"hotel_36","food_154"
"hotel_36","food_155"
"hotel_36","food_178"
"hotel_36","food_258"
"hotel_36","food_263"
"hotel_36","food_281"
"hotel_36","food_283"
"hotel_36","food_284"
"hotel_36","food_294"
"hotel_36","food_304"
"hotel_36","food_317"
"hotel_36","food_329"
"hotel_37","food_16"
"hotel_37","food_17"
"hotel_37","food_18"
"hotel_37","food_21"
"hotel_37","food_54"
"hotel_37","food_68"
"hotel_37","food_69"
"hotel_37","food_76"
"hotel_37","food_89"
"hotel_37","food_141"
"hotel_37","food_189"
"hotel_37","food_190"
"hotel_37","food_192"
"hotel_37","food_232"
"hotel_37","food_260"
"hotel_37","food_290"
"hotel_37","food_291"
"hotel_37","food_316"
"hotel_37","food_319"
"hotel_37","food_327"
"hotel_38","food_2"
"hotel_38","food_3"
"hotel_38","food_4"
"hotel_38","food_5"
"hotel_38","food_6"
"hotel_38","food_7"
"hotel_38","food_8"
"hotel_38","food_12"
"hotel_38","food_257"
"hotel_38","food_269"
"hotel_38","food_271"
"hotel_38","food_321"
"hotel_39","food_16"
"hotel_39","food_17"
"hotel_39","food_18"
"hotel_39","food_21"
"hotel_39","food_69"
"hotel_39","food_102"
"hotel_39","food_140"
"hotel_39","food_142"
"hotel_39","food_143"
"hotel_39","food_175"
"hotel_39","food_189"
"hotel_39","food_190"
"hotel_39","food_232"
"hotel_39","food_290"
"hotel_39","food_291"
"hotel_39","food_316"
"hotel_40","food_22"
"hotel_40","food_23"
"hotel_40","food_30"
"hotel_40","food_31"
"hotel_40","food_34"
"hotel_40","food_37"
"hotel_40","food_38"
"hotel_40","food_72"
"hotel_40","food_73"
"hotel_40","food_80"
"hotel_40","food_132"
"hotel_40","food_134"
"hotel_40","food_137"
"hotel_40","food_144"
"hotel_40","food_152"
"hotel_40","food_162"
"hotel_40","food_173"
"hotel_40","food_256"
"hotel_40","food_259"
"hotel_40","food_266"
"hotel_40","food_272"
"hotel_40","food_275"
"hotel_40","food_278"
"hotel_40","food_285"
"hotel_40","food_289"
"hotel_40","food_299"
"hotel_40","food_307"
"hotel_41","food_77"
"hotel_41","food_91"
"hotel_41","food_105"
"hotel_41","food_126"
"hotel_41","food_166"
"hotel_41","food_171"
"hotel_41","food_174"
"hotel_41","food_177"
"hotel_41","food_275"
"hotel_41","food_288"
"hotel_41","food_309"
